Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
java.util.concurrent.LinkedBlockingDeque$DescendingItr,DescendingItr,java.util.concurrent.LinkedBlockingDeque$DescendingItr,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,629,3,6
java.nio.DirectFloatBufferS,DirectFloatBufferS,java.nio.DirectFloatBufferS,18,1,17,1,0,0,0,0,4,5,0,1,3,0,4,1,2,6,623,24,1
java.beans.NameGenerator,NameGenerator,java.beans.NameGenerator,4,1,4,0,2,0,0,0,0,2,0,2,0,0,0,1,1,4,620,6,3
java.util.Currency,Currency,java.util.Currency,25,1,11,9,16,0,0,0,21,36,0,23,0,0,21,2,2,13,624,62,17
javax.swing.JWindow$AccessibleJWindow,AccessibleJWindow,javax.swing.JWindow$AccessibleJWindow,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1293,1,71
java.awt.Graphics2D,Graphics2D,java.awt.Graphics2D,39,1,39,0,0,37,0,0,0,0,0,0,0,0,0,10,15,23,1177,39,674
java.lang.Thread,Thread,java.lang.Thread,62,8,42,17,20,0,16,0,6,29,3,23,0,0,6,5,6,21,620,92,3088
java.util.concurrent.ScheduledExecutorService,ScheduledExecutorService,java.util.concurrent.ScheduledExecutorService,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,5,5,622,5,19
java.text.AttributedCharacterIterator$Attribute,Attribute,java.text.AttributedCharacterIterator$Attribute,5,1,3,0,0,0,0,0,5,6,3,3,0,0,5,3,3,7,620,12,3084
javax.management.JMRuntimeException,JMRuntimeException,javax.management.JMRuntimeException,0,3,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,34
java.awt.Panel$AccessibleAWTPanel,AccessibleAWTPanel,java.awt.Panel$AccessibleAWTPanel,1,1,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0,3,1177,3,673
java.util.regex.Pattern$SliceUS,SliceUS,java.util.regex.Pattern$SliceUS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,620,1,3080
java.beans.BeanInfo,BeanInfo,java.beans.BeanInfo,8,0,8,0,0,8,0,0,4,4,4,0,0,0,4,0,1,2,1180,12,6
java.lang.Character$Subset,Subset,java.lang.Character$Subset,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,620,4,3082
java.awt.geom.Point2D$Float,Float,java.awt.geom.Point2D$Float,5,2,5,0,0,0,0,0,1,3,2,1,0,0,1,1,2,5,623,9,759
javax.print.MimeType$ParameterMapEntrySet,ParameterMapEntrySet,javax.print.MimeType$ParameterMapEntrySet,2,2,2,0,0,0,0,0,1,1,0,0,0,0,1,1,2,3,627,3,25
javax.management.Attribute,Attribute,javax.management.Attribute,5,1,5,0,0,0,0,0,1,3,0,3,0,0,1,1,1,3,620,9,22
sun.awt.datatransfer.DataTransferer$RMI,RMI,sun.awt.datatransfer.DataTransferer$RMI,7,1,0,3,7,0,0,0,4,4,0,4,0,0,4,0,1,8,1177,11,673
java.awt.GraphicsCallback$PeerPaintCallback,PeerPaintCallback,java.awt.GraphicsCallback$PeerPaintCallback,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3,6,1189,3,9
java.util.HashMap$ValueIterator,ValueIterator,java.util.HashMap$ValueIterator,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,620,2,3083
javax.accessibility.AccessibleRelation,AccessibleRelation,javax.accessibility.AccessibleRelation,4,3,4,0,0,0,0,0,24,25,24,1,0,0,24,0,1,3,621,29,675
sun.reflect.generics.tree.TypeArgument,TypeArgument,sun.reflect.generics.tree.TypeArgument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,620,1,3083
java.util.regex.Pattern$Block,Block,java.util.regex.Pattern$Block,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,620,2,3084
java.util.TreeMap$Entry,Entry,java.util.TreeMap$Entry,6,1,6,0,0,0,0,0,0,6,0,0,0,0,0,1,1,5,645,13,34
java.awt.Shape,Shape,java.awt.Shape,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,1,3,5,638,10,758
