Id,Connections
java.util.concurrent.ConcurrentHashMap$HashEntry,33
java.lang.ThreadLocal,35
java.text.AttributedCharacterIterator,10
sun.reflect.generics.tree.BaseType,22
java.security.cert.CRL,22
java.lang.Throwable,46
java.util.jar.Attributes$Name,35
java.io.ObjectStreamClass$EntryFuture,16
java.util.regex.UnicodeProp,8
java.util.regex.Pattern$BranchConn,6
java.util.regex.Pattern$GroupTail,6
java.lang.reflect.TypeVariable,10
java.util.Formatter$Flags,7
java.util.Formatter$FixedString,5
java.util.jar.Attributes,38
java.util.concurrent.ConcurrentHashMap$KeyIterator,30
java.security.Permission,36
java.nio.file.attribute.FileTime,40
java.io.ObjectStreamClass$MemberSignature,16
java.lang.Throwable$WrappedPrintWriter,2
java.net.SocketException,14
java.io.ObjectOutputStream$BlockDataOutputStream,15
java.net.InetAddress,18
sun.net.spi.nameservice.NameService,13
java.text.Format$FieldDelegate,11
java.lang.annotation.Annotation,22
java.util.Calendar$CalendarAccessControlContext,7
java.lang.Thread$WeakClassKey,28
sun.util.calendar.Era,11
sun.reflect.generics.tree.ShortSignature,13
java.io.ObjectInputStream$PeekInputStream,27
java.security.AccessControlException,29
java.security.Provider,47
java.net.NetworkInterface,15
java.nio.channels.GatheringByteChannel,37
java.util.ArrayList$1,34
java.nio.channels.Channel,42
java.util.Formatter$FormatString,7
java.util.Map$Entry,47
java.lang.NumberFormatException,18
java.lang.ref.ReferenceQueue$1,18
java.security.ProtectionDomain$Key,19
java.net.URL,44
java.io.ByteArrayOutputStream,33
java.lang.CloneNotSupportedException,43
java.util.spi.LocaleServiceProvider,10
java.util.regex.Pattern$UnixCaret,6
java.util.LinkedHashMap$EntryIterator,15
java.util.Formatter,13
java.security.Provider$ServiceKey,22
java.util.regex.Pattern$NotBehindS,6
java.text.FieldPosition,12
java.security.ProtectionDomain,30
java.io.DataOutputStream,35
sun.reflect.generics.tree.TypeVariableSignature,13
java.io.ObjectStreamConstants,26
java.security.Provider$EngineDescription,22
java.io.ObjectInput,27
sun.misc.URLClassPath,33
java.lang.Character$Subset,11
java.util.LinkedHashMap$Entry,17
java.util.concurrent.ConcurrentHashMap$EntrySet,30
sun.util.resources.OpenListResourceBundle,11
java.util.regex.Pattern$Behind,6
java.util.regex.Pattern$UnixDot,6
java.util.TimeZone$DisplayNames,12
java.util.Comparator,12
java.io.ObjectInputStream$BlockDataInputStream,26
java.math.BigDecimal$StringBuilderHelper,7
java.lang.ref.Reference$Lock,20
java.io.ObjectOutputStream$PutFieldImpl,15
java.security.NoSuchAlgorithmException,42
java.nio.file.DirectoryStream,38
java.security.cert.Certificate$CertificateRep,22
java.util.regex.Pattern$CharPropertyNames$CharPropertyFactory,7
java.nio.ShortBuffer,40
java.util.concurrent.atomic.AtomicInteger,41
sun.security.util.ManifestDigester,36
java.lang.Comparable,74
sun.reflect.generics.tree.SimpleClassTypeSignature,13
sun.reflect.generics.repository.FieldRepository,10
sun.reflect.ConstructorAccessor,19
sun.reflect.generics.tree.Tree,31
sun.util.locale.LanguageTag,10
java.lang.Throwable$1,2
java.nio.file.attribute.AttributeView,39
java.net.SocketPermission,21
java.security.DomainCombiner,29
java.util.Locale$LocaleKey,9
java.security.cert.CRLException,22
java.nio.channels.CompletionHandler,37
java.lang.reflect.WildcardType,10
java.lang.reflect.GenericDeclaration,23
sun.reflect.generics.tree.DoubleSignature,13
java.security.AccessControlContext,35
java.nio.channels.WritableByteChannel,42
java.io.ObjectInputStream,65
sun.reflect.generics.repository.ClassRepository,9
java.util.regex.Pattern$GroupRef,6
sun.reflect.FieldAccessor,18
java.net.URISyntaxException,38
java.util.regex.Pattern$GroupCurly,6
java.util.List,64
java.security.InvalidKeyException,22
java.lang.NoSuchFieldException,8
sun.misc.BASE64Decoder,34
java.lang.UnsupportedOperationException,16
java.util.concurrent.ExecutorService,37
java.lang.Thread$State,29
java.lang.Throwable$SentinelHolder,2
java.util.Deque,33
sun.nio.ch.Interruptible,28
java.io.InvalidClassException,16
java.util.ArrayList$ListItr,34
sun.util.locale.BaseLocale$Cache,11
java.util.MissingResourceException,7
java.nio.channels.AsynchronousChannel,37
java.util.concurrent.Executor,37

